S.N.,Date,No of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Total Amount,Prev. Closing,Difference Rs.,% Change
1,2021-03-30,1334,439,425,438,254346.00,110619165.00,425,13,3.06
2,2021-03-29,1044,430,422,425,162645.00,68967002.00,424,1,0.24
3,2021-03-28,993,431,423,424,135978.00,57832509.00,428,-4,-0.93
4,2021-03-24,1200,435,427,428,184604.00,79321405.00,430,-2,-0.47
5,2021-03-23,1162,436,429,430,206453.00,88990493.00,429,1,0.23
6,2021-03-22,1005,453,427,429,154692.00,66351570.00,432,-3,-0.69
7,2021-03-21,1127,459,430,432,163519.00,70899356.00,438,-6,-1.37
8,2021-03-20,1384,455,428,438,193175.00,84174337.00,434,4,0.92
9,2021-03-17,934,450,425,434,166997.00,72623943.00,429,5,1.17
10,2021-03-16,752,430,420,429,173780.00,73865146.00,421,8,1.9
11,2021-03-15,1093,441,418,421,185465.00,78250977.00,420,1,0.24
12,2021-03-14,1417,431,415,420,236501.00,100067541.00,428,-8,-1.87
13,2021-03-13,1512,462,426,428,373544.00,161104486.00,441,-13,-2.95
14,2021-03-09,808,452,432,441,149324.00,66073434.00,447,-6,-1.34
15,2021-03-08,1097,485,442,447,243133.00,108923424.00,462,-15,-3.25
16,2021-03-06,1519,462,434,462,386533.00,171353870.00,445,17,3.82
17,2021-03-03,1620,466,430,445,393831.00,174499283.00,429,16,3.73
18,2021-03-02,1864,440,421,429,429910.00,183146795.00,438,-9,-2.05
19,2021-03-01,1565,456,434,438,362094.00,159071122.00,448,-10,-2.23
20,2021-02-28,2331,451,427,448,521116.00,230476988.00,438,10,2.28
21,2021-02-27,3188,473,435,438,765812.00,340075245.00,464,-26,-5.6
22,2021-02-24,1499,485,460,464,371637.00,173090921.00,478,-14,-2.93
23,2021-02-23,1274,487,472,478,426557.00,204002985.00,474,4,0.84
24,2021-02-22,2215,487,460,474,633534.00,296292058.00,483,-9,-1.86
25,2021-02-21,2307,483,465,483,626623.00,295917320.00,475,8,1.68
26,2021-02-20,2671,499,470,475,653611.00,312254212.00,486,-11,-2.26
27,2021-02-17,2156,522,485,486,546302.00,269651697.00,500,-14,-2.8
28,2021-02-16,2338,506,485,500,734565.00,360999751.00,498,2,0.4
29,2021-02-15,3043,506,484,498,858438.00,425071916.00,476,22,4.62
30,2021-02-14,2792,477,448,476,1010702.00,469024483.00,441,35,7.94
31,2021-02-13,1837,460,434,441,436688.00,192977356.00,452,-11,-2.43
32,2021-02-10,2456,464,449,452,610999.00,278227721.00,448,4,0.89
33,2021-02-09,3477,456,415,448,1174538.00,521725188.00,423,25,5.91
34,2021-02-08,1919,432,416,423,700501.00,294568722.00,414,9,2.17
35,2021-02-07,2527,420,400,414,716803.00,294232772.00,400,14,3.5
36,2021-02-06,2033,410,396,400,736035.00,294607343.00,400,0,0
37,2021-02-03,2021,405,393,400,514761.00,205622752.00,400,0,0
38,2021-02-02,4705,416,389,400,1506061.00,608011040.00,381,19,4.99
39,2021-02-01,4006,382,350,381,1460393.00,536348909.00,348,33,9.48
40,2021-01-31,1334,351,330,348,448830.00,153275118.00,334,14,4.19
41,2021-01-30,1097,344,333,334,213318.00,71798850.00,341,-7,-2.05
42,2021-01-27,1835,350,336,341,578619.00,196499331.00,334,7,2.1
43,2021-01-26,657,339,333,334,161821.00,54127411.00,336,-2,-0.6
44,2021-01-25,689,353,334,336,192160.00,64711336.00,337,-1,-0.3
45,2021-01-24,910,351,333,337,259608.00,87333966.00,335,2,0.6
46,2021-01-23,1165,340,332,335,214742.00,71938898.00,332,3,0.9
47,2021-01-20,969,335,330,332,210724.00,69953682.00,333,-1,-0.3
48,2021-01-19,708,350,328,333,149578.00,49850770.00,334,-1,-0.3
49,2021-01-18,810,350,333,334,215792.00,72331020.00,336,-2,-0.6
50,2021-01-17,848,339,335,336,220997.00,74346847.00,336,0,0
51,2021-01-16,825,345,334,336,249522.00,84002176.00,339,-3,-0.88
52,2021-01-12,884,345,338,339,191805.00,65295700.00,340,-1,-0.29
53,2021-01-11,766,345,334,340,165810.00,56230439.00,338,2,0.59
54,2021-01-10,1674,345,333,338,432542.00,146826018.00,328,10,3.05
55,2021-01-09,1757,329,317,328,434030.00,141110287.00,315,13,4.13
56,2021-01-06,709,318,313,315,186361.00,58700594.00,315,0,0
57,2021-01-05,576,317,312,315,128949.00,40556252.00,314,1,0.32
58,2021-01-04,575,322,312,314,113673.00,35733751.00,318,-4,-1.26
59,2021-01-03,909,330,315,318,185178.00,59460791.00,320,-2,-0.63
60,2021-01-02,1108,320,309,320,266110.00,83468436.00,309,11,3.56
61,2020-12-30,984,312,302,309,284887.00,87723080.00,306,3,0.98
62,2020-12-29,1311,310,300,306,290146.00,88235285.00,307,-1,-0.33
63,2020-12-28,2163,359,347,350,669605.00,235087705.00,353,-3,-0.85
64,2020-12-27,1142,360,347,353,362278.00,127433862.00,352,1,0.28
65,2020-12-26,1200,360,351,352,435022.00,154655019.00,359,-7,-1.95
66,2020-12-23,1334,359,347,359,376008.00,131907615.00,348,11,3.16
67,2020-12-22,1303,360,347,348,330689.00,115623188.00,343,5,1.46
68,2020-12-21,1170,347,337,343,293192.00,100042558.00,333,10,3
69,2020-12-20,1587,337,307,333,405009.00,130854337.00,326,7,2.15
70,2020-12-19,1516,340,325,326,312763.00,102976797.00,339,-13,-3.83
71,2020-12-16,657,344,338,339,159315.00,54159039.00,342,-3,-0.88
72,2020-12-15,676,342,337,342,157586.00,53595496.00,339,3,0.88
73,2020-12-14,809,358,338,339,205468.00,70176992.00,341,-2,-0.59
74,2020-12-13,944,352,337,341,203129.00,69538171.00,336,5,1.49
75,2020-12-12,761,339,329,336,171383.00,57135095.00,329,7,2.13
76,2020-12-09,943,334,325,329,174717.00,57586153.00,330,-1,-0.3
77,2020-12-08,1088,339,328,330,254829.00,84355281.00,339,-9,-2.65
78,2020-12-07,1032,355,335,339,210847.00,71910284.00,339,0,0
79,2020-12-06,1415,345,322,339,311868.00,104262436.00,329,10,3.04
80,2020-12-05,1490,352,328,329,351637.00,118738325.00,345,-16,-4.64
81,2020-12-02,1359,367,344,345,340902.00,119111852.00,353,-8,-2.27
82,2020-12-01,1185,358,348,353,291480.00,102728226.00,349,4,1.15
83,2020-11-30,1841,369,339,349,379380.00,134012202.00,360,-11,-3.06
84,2020-11-29,3297,383,355,360,729305.00,270232213.00,349,11,3.15
85,2020-11-28,2842,349,320,349,813142.00,279582876.00,318,31,9.75
86,2020-11-25,1432,320,312,318,319855.00,101432340.00,312,6,1.92
87,2020-11-24,871,313,308,312,219940.00,68153629.00,307,5,1.63
88,2020-11-23,789,312,307,307,190821.00,58973281.00,308,-1,-0.32
89,2020-11-22,937,310,304,308,254274.00,78155981.00,304,4,1.32
90,2020-11-21,1336,309,301,304,323417.00,98931321.00,300,4,1.33
91,2020-11-18,951,314,299,300,257825.00,77427406.00,300,0,0
92,2020-11-17,1011,301,297,300,261887.00,78324948.00,295,5,1.69
93,2020-11-11,939,300,293,295,252671.00,74751975.00,293,2,0.68
94,2020-11-10,556,295,292,293,149499.00,43753195.00,293,0,0
95,2020-11-09,485,295,292,293,115373.00,33814794.00,293,0,0
96,2020-11-08,534,295,292,293,141559.00,41521235.00,294,-1,-0.34
97,2020-11-07,716,295,292,294,168722.00,49391150.00,292,2,0.68
98,2020-11-04,587,295,291,292,140170.00,40988852.00,293,-1,-0.34
99,2020-11-03,421,308,291,293,84418.00,24754439.00,294,-1,-0.34
100,2020-11-02,554,297,278,294,107926.00,31737217.00,291,3,1.03
101,2020-11-01,821,297,283,291,233052.00,68439301.00,297,-6,-2.02
102,2020-10-31,1189,305,294,297,304607.00,90325089.00,299,-2,-0.67
103,2020-10-28,1711,307,297,299,402254.00,120910938.00,301,-2,-0.66
104,2020-10-27,2718,302,297,301,690710.00,206544550.00,288,13,4.51
105,2020-10-21,1029,290,284,288,263183.00,75588615.00,282,6,2.13
106,2020-10-20,742,282,277,282,162105.00,45335472.00,276,6,2.17
107,2020-10-19,296,278,274,276,42566.00,11717336.00,275,1,0.36
108,2020-10-18,264,275,272,275,50244.00,13726432.00,272,3,1.1
109,2020-10-17,346,281,271,272,50978.00,13893115.00,272,0,0
110,2020-10-14,434,275,271,272,80395.00,21874271.00,271,1,0.37
111,2020-10-13,319,285,271,271,59518.00,16190379.00,272,-1,-0.37
112,2020-10-12,365,277,272,272,68373.00,18677066.00,272,0,0
113,2020-10-11,340,274,269,272,107604.00,29229027.00,271,1,0.37
114,2020-10-10,470,279,270,271,93944.00,25544214.00,275,-4,-1.45
115,2020-10-07,513,279,273,275,141927.00,39054443.00,276,-1,-0.36
116,2020-10-06,436,277,274,276,147512.00,40563822.00,275,1,0.36
117,2020-10-05,344,279,275,275,71578.00,19752555.00,277,-2,-0.72
118,2020-10-04,502,283,276,277,109828.00,30519818.00,279,-2,-0.72
119,2020-10-03,822,285,274,279,197341.00,54836852.00,272,7,2.57
