S.N.,Date,No of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Total Amount,Prev. Closing,Difference Rs.,% Change
1,2021-03-30,958,910,875,903,154542.00,139026138.00,872,31,3.56
2,2021-03-29,441,875,870,872,100427.00,87598993.00,872,0,0
3,2021-03-28,298,880,867,872,36653.00,31975515.00,872,0,0
4,2021-03-24,440,890,870,872,50778.00,44507443.00,879,-7,-0.8
5,2021-03-23,412,886,877,879,60092.00,52898335.00,877,2,0.23
6,2021-03-22,412,880,872,877,48299.00,42370753.00,881,-4,-0.45
7,2021-03-21,502,909,876,881,69309.00,61288960.00,893,-12,-1.34
8,2021-03-20,689,894,870,893,116839.00,103370221.00,872,21,2.41
9,2021-03-17,500,879,860,872,84339.00,73674975.00,865,7,0.81
10,2021-03-16,430,874,854,865,66842.00,57867774.00,860,5,0.58
11,2021-03-15,519,867,842,860,102391.00,87796892.00,855,5,0.58
12,2021-03-14,669,901,840,855,147770.00,125772248.00,859,-4,-0.47
13,2021-03-13,912,875,843,859,135716.00,116011509.00,866,-7,-0.81
14,2021-03-09,421,912,861,866,54313.00,47028820.00,869,-3,-0.35
15,2021-03-08,545,880,866,869,80802.00,70327704.00,878,-9,-1.03
16,2021-03-06,774,910,875,878,101323.00,89260873.00,893,-15,-1.68
17,2021-03-03,965,913,870,893,177944.00,158489261.00,870,23,2.64
18,2021-03-02,1151,876,853,870,247185.00,213430515.00,880,-10,-1.14
19,2021-03-01,1139,909,862,880,203295.00,177935664.00,892,-12,-1.35
20,2021-02-28,971,927,861,892,202862.00,180548802.00,883,9,1.02
21,2021-02-27,1384,900,878,883,277409.00,246009545.00,905,-22,-2.43
22,2021-02-24,1189,966,900,905,224463.00,204046702.00,920,-15,-1.63
23,2021-02-23,895,955,915,920,220278.00,204754832.00,925,-5,-0.54
24,2021-02-22,1637,925,893,925,361039.00,328050381.00,918,7,0.76
25,2021-02-21,1711,951,914,918,410509.00,382475253.00,955,-37,-3.87
26,2021-02-20,1533,1000,944,955,320881.00,306677360.00,963,-8,-0.83
27,2021-02-17,2944,983,923,963,587795.00,560108357.00,923,40,4.33
28,2021-02-16,940,935,911,923,205348.00,189119982.00,924,-1,-0.11
29,2021-02-15,1755,940,911,924,363939.00,336765156.00,917,7,0.76
30,2021-02-14,1958,921,886,917,448841.00,406903392.00,877,40,4.56
31,2021-02-13,659,900,875,877,171612.00,152198279.00,889,-12,-1.35
32,2021-02-10,1165,920,880,889,230138.00,206767415.00,884,5,0.57
33,2021-02-09,529,895,878,884,108250.00,95773858.00,888,-4,-0.45
34,2021-02-08,927,905,883,888,256674.00,229162568.00,889,-1,-0.11
35,2021-02-07,1011,899,874,889,230184.00,204897108.00,874,15,1.72
36,2021-02-06,833,880,869,874,124789.00,109051358.00,877,-3,-0.34
37,2021-02-03,737,882,870,877,139753.00,122179919.00,882,-5,-0.57
38,2021-02-02,859,915,850,882,157512.00,139831827.00,888,-6,-0.68
39,2021-02-01,990,899,861,888,188825.00,165623996.00,857,31,3.62
40,2021-01-31,992,877,855,857,206175.00,177559080.00,860,-3,-0.35
41,2021-01-30,1533,880,858,860,356920.00,308720078.00,875,-15,-1.71
42,2021-01-27,1644,895,868,875,325484.00,286009671.00,893,-18,-2.02
43,2021-01-26,647,902,888,893,158020.00,141476515.00,900,-7,-0.78
44,2021-01-25,767,915,897,900,154147.00,139252770.00,907,-7,-0.77
45,2021-01-24,1580,929,880,907,330776.00,297641533.00,885,22,2.49
46,2021-01-23,1116,905,880,885,234231.00,208206323.00,887,-2,-0.23
47,2021-01-20,971,901,885,887,181625.00,161635844.00,889,-2,-0.22
48,2021-01-19,1136,905,885,889,205128.00,182867884.00,900,-11,-1.22
49,2021-01-18,1114,951,895,900,223860.00,202001414.00,906,-6,-0.66
50,2021-01-17,1139,935,896,906,223189.00,202442747.00,901,5,0.55
51,2021-01-16,989,925,896,901,254035.00,229024879.00,912,-11,-1.21
52,2021-01-12,595,936,907,912,174132.00,159386980.00,918,-6,-0.65
53,2021-01-11,564,950,907,918,135414.00,123833420.00,915,3,0.33
54,2021-01-10,707,963,912,915,176512.00,163009521.00,927,-12,-1.29
55,2021-01-09,981,935,910,927,194033.00,179425191.00,908,19,2.09
56,2021-01-06,1159,916,890,908,250027.00,226100607.00,892,16,1.79
57,2021-01-05,529,899,882,892,110605.00,98268937.00,883,9,1.02
58,2021-01-04,721,899,880,883,184653.00,163977774.00,892,-9,-1.01
59,2021-01-03,1010,913,885,892,234042.00,210570290.00,899,-7,-0.78
60,2021-01-02,1236,908,892,899,304366.00,273796779.00,882,17,1.93
61,2020-12-30,1268,898,870,882,304296.00,270011444.00,870,12,1.38
62,2020-12-29,1437,881,835,870,370286.00,322365443.00,842,28,3.33
63,2020-12-28,894,863,840,842,176925.00,150659167.00,854,-12,-1.41
64,2020-12-27,1547,854,801,854,359860.00,300668927.00,810,44,5.43
65,2020-12-26,1463,836,805,810,329040.00,268546584.00,827,-17,-2.06
66,2020-12-23,1631,863,813,827,390680.00,322553517.00,852,-25,-2.93
67,2020-12-22,1959,920,825,852,381481.00,330372542.00,854,-2,-0.23
68,2020-12-21,2167,854,814,854,555811.00,468134172.00,777,77,9.91
69,2020-12-20,2815,777,699,777,605883.00,448081210.00,707,70,9.9
70,2020-12-19,2871,749,671,707,674434.00,479739945.00,690,17,2.46
71,2020-12-16,1332,699,665,690,349388.00,238611164.00,669,21,3.14
72,2020-12-15,529,700,665,669,170003.00,113945815.00,672,-3,-0.45
73,2020-12-14,930,680,667,672,284988.00,191974002.00,667,5,0.75
74,2020-12-13,1209,673,648,667,337934.00,223504525.00,650,17,2.62
75,2020-12-12,991,652,620,650,236248.00,151067309.00,616,34,5.52
76,2020-12-09,439,621,608,616,104431.00,64388391.00,612,4,0.65
